id,slug,category,subCategory,name,shortDescription,description,image,gallery,specifications,filters,isActive,status
agri-cashew-ww320,cashew-nut-ww320-standard,Cashew,Cashew Kernels,Cashew Nut WW320 (Standard),World-standard export grade cashew kernels.,"WW320 is the most commonly traded cashew grade globally. It provides a consistent size and quality profile that is highly versatile, used in everything from snack packs to confectionery coatings.",cashew-ww320-optimized.webp,,Grade: White Whole 320; Count: 300-320/lb; Moisture: 5% Max; Broken: 5% Max,type: Cashew; grade: WW320; processing: Dried,TRUE,published
rice-504,white-rice-504-5-broken,Rice,Long Grain White Rice,"White Rice 504, 5% Broken","High-yield white rice with firm texture, 5% broken.","The 504 variety is known for its high amylose content, resulting in a firm grain that doesn’t stick when cooked. The 5% broken specification represents the premium grade of this high-yield variety, making it well suited for food service providers and bulk buyers.",rice-504-5-optimized.webp,,Broken: 5% Max; Moisture: 14.0% Max; Chalky: 6.0% Max; Admixture: 0.1% Max,brokenRatio: 5%; type: Long Grain; grainLength: Long; processing: Standard,TRUE,published
rice-5451,white-rice-5451-5-broken,Rice,Long Grain White Rice,"White Rice 5451, 5% Broken","Soft-textured white rice, 5% broken, popular export grade.","OM 5451 is a high-quality variety developed for soft eating quality. It has a slender, milky white appearance and remains soft even after cooling, making it one of Vietnam’s most exported long-grain varieties.",rice-5451-5-optimized.webp,,Broken: 5% Max; Moisture: 14.0% Max; Yellow Kernels: 0.5% Max; Damaged: 0.5% Max,brokenRatio: 5%; type: Long Grain; grainLength: Long; processing: Soft,TRUE,published
rice-dt8,fragrant-rice-dt8-5-broken,Rice,Premium & Fragrant Rice,"Fragrant Rice DT8, 5% Broken","Aromatic long-grain rice, 5% broken, mid-to-premium export grade.","Dai Thom 8 (DT8) is a leading Vietnamese fragrant rice variety, valued for its long slender grain, natural aroma, and soft texture after cooking. A popular mid-to-premium tier choice for both retail and food-service export markets.",rice-dt8-5-optimized.webp,,Broken: 5% Max; Moisture: 14.0% Max; Purity: 90% Min; Fragrance: Natural,brokenRatio: 5%; type: Fragrant; grainLength: Long; processing: Premium,TRUE,published
rice-jasmine,jasmine-rice-5-broken,Rice,Premium & Fragrant Rice,"Jasmine Rice, 5% Broken","Aromatic, silky Jasmine rice, 5% broken, top-tier export grade.","Cultivated in the fertile Mekong Delta, our Jasmine rice is prized for its floral aroma and moist, silky texture. It is a staple in premium retail markets throughout North America, Europe, and the Middle East.",rice-jasmine-5-optimized.webp,,Broken: 5% Max; Moisture: 14.0% Max; Purity: 90% Min; Fragrance: Natural,brokenRatio: 5%; type: Fragrant; grainLength: Long; processing: Premium,TRUE,published
rice-japonica,japonica-rice-5-broken,Rice,Premium & Fragrant Rice,"Japonica Rice, 5% Broken","Short-grain Japonica rice, 5% broken, sticky-soft texture.","A short-to-medium grain Japonica variety grown for its slightly sticky texture and mild sweetness when cooked, favored by markets accustomed to Japanese- and Korean-style rice.",,,Broken: 5% Max; Moisture: 14.0% Max; Grain Shape: Short/Medium; Purity: 90% Min,brokenRatio: 5%; type: Japonica; grainLength: Short; processing: Standard,TRUE,published
rice-st25,st25-rice-5-broken,Rice,Premium & Fragrant Rice,"ST25 Rice, 5% Broken","Award-winning ""World’s Best Rice"", 5% broken, pineapple-pandan aroma.","ST25 is the pinnacle of Vietnamese rice breeding. Characterized by long, slender grains that remain intact after cooking, it features a distinct aroma of pandan and young pineapple — the luxury choice for gourmets worldwide.",,,Broken: 5% Max; Moisture: 14.0% Max; Grain Length: 7.2mm; Purity: 95% Min,brokenRatio: 5%; type: Fragrant; grainLength: Long; processing: Luxury,TRUE,published
coconut-green-shell,green-shell-coconut,Coconut,Coconut Products,Green Shell Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-diamond,diamond-coconut,Coconut,Coconut Products,Diamond Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-knot,knot-coconut,Coconut,Coconut Products,Knot Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-green-tender,green-tender-coconut,Coconut,Coconut Products,Green Tender Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-diamond-straw,diamond-coconut-with-straw,Coconut,Coconut Products,Diamond Coconut with Straw,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-peeled,peeled-coconut,Coconut,Coconut Products,Peeled Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
coconut-musked,musked-coconut,Coconut,Coconut Products,Musked Coconut,Details coming soon.,Details coming soon.,,,,,TRUE,published
